"","timestamp","month","sentiment","html"
"222",2015-08-03,2015-08-01,0,"<span class=""sentiment2"">thanks</span> to this plan there will be 90000 fewer asthma <span class=""sentiment-1"">attacks</span> among our kids and we'll <span class=""sentiment-1"">avoid</span> 3600 premature deaths in 2030"
"221",2015-08-03,2015-08-01,0,"despite what the <span class=""sentiment-2"">critics</span> will tell you this plan will ultimately <span class=""sentiment2"">save</span> the average american family nearly $85 a year on their energy bills"
"220",2015-08-03,2015-08-01,-5,"i <span class=""sentiment-2"">refuse</span> to <span class=""sentiment-2"">condemn</span> our kids to a planet that's beyond fixing let's meet this <span class=""sentiment-1"">challenge</span> and #actonclimate together"
"219",2015-08-05,2015-08-01,-1,"it's the <span class=""sentiment2"">strongest</span> nuclear deal ever negotiated there's <span class=""sentiment-1"">no</span> such thing as a <span class=""sentiment2"">better</span> deal walking away <span class=""sentiment-2"">risks</span> <span class=""sentiment-2"">war</span> https//tco/la7ghqxfzl"
"218",2015-08-05,2015-08-01,-5,"the choice is ultimately between diplomacy and <span class=""sentiment-2"">war</span> iran's nuclear program accelerates if congress <span class=""sentiment-3"">kills</span> this deal https//tco/nvbeo1omko"
"217",2015-08-05,2015-08-01,1,"<span class=""sentiment2"">important</span> detail – there are <span class=""sentiment-1"">no</span> secret deals my staff can brief you on any question about any part of the deal https//tco/uo0b5xcoph"
"216",2015-08-05,2015-08-01,1,"<span class=""sentiment1"">pretty</span> incredible time lapse of the dark side of the moon passing earth from @nasa american ingenuity at work http//tco/jkep9bcxgq"
"215",2015-08-06,2015-08-01,0,"50 years ago today president johnson signed the voting rights act into law securing the right to vote for millions of african americans"
"214",2015-08-06,2015-08-01,0,"before 1965 african americans faced poll taxes literacy tests or having to count jellybeans in a jar when they tried to register to vote"
"213",2015-08-06,2015-08-01,4,"<span class=""sentiment2"">heroes</span> <span class=""sentiment2"">like</span> @repjohnlewis dr king and countless others sacrificed so that all of our voices could be heard http//tco/l7kxtwqlyw"
"212",2015-08-06,2015-08-01,5,"<span class=""sentiment2"">thank</span> you for all you've done to <span class=""sentiment1"">protect</span> our sacred right to vote it's as <span class=""sentiment2"">important</span> today as it's ever been https//tco/ge74wu5nc1"
"211",2015-08-14,2015-08-01,3,"rt @johnkerry <span class=""sentiment3"">pleased</span> to be in #havana for historic day @usembcuba incredible last time #secstate visited #cuba fdr was @potus http//…"
"210",2015-08-14,2015-08-01,5,"due to <span class=""sentiment3"">popular</span> request here are my vacation playlists http//tco/uer5sil4vk http//tco/zheekhvqbr what's your <span class=""sentiment2"">favorite</span> summer song"
"209",2015-08-20,2015-08-01,4,"president carter is as <span class=""sentiment3"">good</span> a man as they come michelle and i are <span class=""sentiment1"">praying</span> for him and rosalynn we're all pulling for you jimmy"
"208",2015-08-25,2015-08-01,7,"the national park service 99 years and 84 million acres <span class=""sentiment2"">strong</span> <span class=""sentiment2"">congrats</span> to all who work to <span class=""sentiment1"">protect</span> these <span class=""sentiment2"">treasures</span> http//tco/r8ryb9vkvw"
"207",2015-08-27,2015-08-01,-2,"amidst global volatility congress should <span class=""sentiment1"">protect</span> the momentum of our <span class=""sentiment1"">growing</span> economy not <span class=""sentiment-3"">kill</span> it we must <span class=""sentiment-1"">avoid</span> shutdown / austerity"
"206",2015-08-29,2015-08-01,6,"in treme i was <span class=""sentiment2"">inspired</span> by the <span class=""sentiment2"">progress</span> &amp people 10 years after katrina it gives us <span class=""sentiment2"">hope</span> but our work isn't done http//tco/ldqsarhnzt"
"205",2015-08-31,2015-08-01,0,"today we’re returning mount mckinley to its native name - denali a step to reflect the heritage of alaska natives http//tco/wyzqimkymx"
"204",2015-09-03,2015-09-01,5,"i <span class=""sentiment3"">loved</span> alaska and met so many <span class=""sentiment3"">inspiring</span> people have to keep up the <span class=""sentiment-1"">fight</span> on climate change for their sake—and ours http//tco/hzww0s6iqc"
"203",2015-09-06,2015-09-01,4,"<span class=""sentiment2"">thank</span> you colin for putting your experience and expertise behind this <span class=""sentiment2"">important</span> initiative for our country https//tco/bsnalms8cu"
"202",2015-09-10,2015-09-01,-1,"today's senate vote on the iran deal is a historic step toward <span class=""sentiment-1"">preventing</span> iran from obtaining a nuclear weapon the world is safer for it"
