"","timestamp","month","sentiment","html"
"29",2016-09-06,2016-09-01,2,"sabaidii laos <span class=""sentiment2"">honored</span> to be the first us president to visit laos and to begin a new partnership between our countries"
"28",2016-09-24,2016-09-01,8,"<span class=""sentiment2"">proud</span> to <span class=""sentiment2"">help</span> open @nmaahc with so many <span class=""sentiment2"">heroes</span> african american history is a central part of our <span class=""sentiment2"">glorious</span> american history"
"27",2016-09-26,2016-09-01,4,"here's to the king who was as extraordinary on the links as he was <span class=""sentiment2"">generous</span> to others <span class=""sentiment2"">thanks</span> for the memories arnold https//tco/ulyfpibol2"
"26",2016-09-26,2016-09-01,-1,"rt @nytnational census data shows 35 million americans were able to raise their chins above the <span class=""sentiment-1"">poverty</span> line last year https//tco/fer5e…"
"25",2016-09-27,2016-09-01,3,"democracy is not a spectator sport don't give up your power to shape the future of the country we <span class=""sentiment3"">love</span> vote https//tco/suxb8tlc5r"
"24",2016-09-27,2016-09-01,3,"couldn't be more <span class=""sentiment2"">proud</span> of @hillaryclinton her <span class=""sentiment1"">vision</span> and command during last night's debate showed that she's ready to be our next @potus"
"23",2016-09-29,2016-09-01,2,"our olympians and paralympians show the world that <span class=""sentiment-1"">no</span> <span class=""sentiment1"">matter</span> what with perseverance we can do incredible things <span class=""sentiment2"">proud</span> of you #teamusa"
"22",2016-10-01,2016-10-01,1,"paid <span class=""sentiment-1"">leave</span> shouldn't be a luxury it's a basic necessity that we should <span class=""sentiment2"">secure</span> for every working american https//tco/opeqivpjlk"
"21",2016-10-02,2016-10-01,3,"gandhiji believed in a world <span class=""sentiment2"">worthy</span> of our children in joining the paris <span class=""sentiment1"">agreement</span> @narendramodi &amp the indian people carry on that legacy"
"20",2016-10-03,2016-10-01,8,"what a <span class=""sentiment4"">win</span> by the usa in #rydercup <span class=""sentiment2"">proud</span> to see our guys bring the trophy back home arnie is <span class=""sentiment2"">smiling</span> down"
"19",2016-10-03,2016-10-01,0,"bringing a little austin to the south lawn today https//tco/qcxwvi0ulh https//tco/ntb10i3ghp"
"18",2016-10-05,2016-10-01,3,"<span class=""sentiment2"">thank</span> you to every nation that moved to bring the paris <span class=""sentiment1"">agreement</span> into force history will judge today as a turning point for our planet"
"17",2016-10-06,2016-10-01,2,"hurricane matthew is as serious as it gets listen to local officials prepare take <span class=""sentiment2"">care</span> of each other https//tco/vaf8xubs0s"
"16",2016-10-07,2016-10-01,0,"voted early today make sure you vote too https//tco/suumuadshj https//tco/nmesnhwsag"
"15",2016-10-10,2016-10-01,2,"just <span class=""sentiment2"">like</span> michelle says when they go low we go high @hillaryclinton went high and showed why she'll be a potus for all americans"
"14",2016-10-11,2016-10-01,2,"on international #dayofthegirl we remain <span class=""sentiment1"">committed</span> to providing what we all <span class=""sentiment1"">want</span> for our daughters a future of limitless possibility"
"13",2016-10-12,2016-10-01,6,"now this was <span class=""sentiment4"">fun</span> artificial intelligence space travel—hope you <span class=""sentiment2"">enjoy</span> exploring new frontiers as much as i did https//tco/wwbum5ej08"
"12",2016-10-13,2016-10-01,4,"<span class=""sentiment2"">congratulations</span> to one of my <span class=""sentiment2"">favorite</span> poets bob dylan on a well-deserved nobel https//tco/c9cnanwpcs"
"11",2016-10-14,2016-10-01,0,"<span class=""sentiment1"">clearly</span> we still have more to do to <span class=""sentiment-1"">prevent</span> sexual assault and the thinking that leads to it that starts with us https//tco/9przb451fs"
"10",2016-10-16,2016-10-01,0,"for a century planned parenthood has made it possible for women to determine their own lives here's to another #100yearsstrong"
"9",2016-10-17,2016-10-01,3,"for the <span class=""sentiment3"">loved</span> ones we've <span class=""sentiment-3"">lost</span> and the ones we can still <span class=""sentiment2"">save</span> <span class=""sentiment2"">thank</span> you joe for putting us on the path to ending <span class=""sentiment-1"">cancer</span> as we know it https//tco/o0twpycrsc"
"8",2016-10-20,2016-10-01,6,"<span class=""sentiment5"">outstanding</span> 3 for 3 debate sweep for @hillaryclinton nobody has ever been more <span class=""sentiment1"">prepared</span> to be @potus"
"7",2016-10-21,2016-10-01,-1,"rt @vj44 we lit the @whitehouse pink tonight to commemorate breast <span class=""sentiment-1"">cancer</span> awareness month make sure to enroll in #aca starting nov 1 htt…"
"6",2016-10-21,2016-10-01,4,"check out my newest science advisors these kids are <span class=""sentiment2"">fearless</span> in using science to tackle our toughest <span class=""sentiment-2"">problems</span> <span class=""sentiment2"">thanks</span> for the <span class=""sentiment2"">inspiration</span> https//tco/qe7h3ifttz"
"5",2016-10-23,2016-10-01,6,"i'll say it holy cow @cubs fans even this white sox <span class=""sentiment3"">fan</span> was <span class=""sentiment3"">happy</span> to see wrigley rocking last night #flythew"
"4",2016-11-03,2016-11-01,4,"it happened @cubs <span class=""sentiment4"">win</span> world series that's change even this south sider can believe in <span class=""sentiment1"">want</span> to come to the white house before i <span class=""sentiment-1"">leave</span>"
"3",2016-11-03,2016-11-01,3,"it's <span class=""sentiment1"">pretty</span> simple find a plan get covered earn some <span class=""sentiment2"">peace</span> of mind start today https//tco/pj7xikp3vo https//tco/zbqdnz8s80"
"2",2016-11-08,2016-11-01,2,"today <span class=""sentiment2"">progress</span> is on the ballot go vote - then make sure your friends your family and everyone you know votes too"
"1",2016-11-11,2016-11-01,8,"today we <span class=""sentiment2"">honor</span> those who <span class=""sentiment2"">honored</span> our country with its highest form of service we owe our veterans our <span class=""sentiment2"">thanks</span> our respect and our <span class=""sentiment2"">freedom</span>"
